 


  CHICAGO MIDWAY AP (IL)- Wind Frequency Table (percentage)  
  
  Latitude  :        41.7861       Start Date :          Jan. 1, 2022           Sub Interal Windows 
  Longitude :       -87.7522       End Date   :         Dec. 31, 2022                 Start    End  
  Elevation :       612 ft.        # of Days  :         365 of    365          Date    Jan.  1   Dec. 31  
  Element :     Mean Wind Speed    # obs of poss :    7934 of    8016           Hour     0      24   
  
 (Greater than or equal to initial interval value and Less than ending interval value.) 
  
Range (m/s),    0,    10,    20,    30,    40,    50,    60,    70,    80,    90,   100,   110,   120,   130,   140,   150,   160,   170,   180,   190,   200,   210,   220,   230,   240,   250,   260,   270,   280,   290,   300,   310,   320,   330,   340,   350, Total
 1.3 -  1.8,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.0 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.2 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.2 ,  0.1 ,  0.1 ,  0.2 ,  0.1 ,  0.1 ,  0.2 ,  0.1 ,  0.1 ,  0.2 ,  0.2 ,  0.2 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  3.9
 1.8 -  3.6,  0.5 ,  0.5 ,  0.3 ,  0.4 ,  0.4 ,  0.3 ,  0.3 ,  0.3 ,  0.4 ,  0.5 ,  0.5 ,  0.6 ,  0.4 ,  0.5 ,  0.5 ,  0.3 ,  0.6 ,  0.7 ,  1.0 ,  1.3 ,  1.2 ,  1.1 ,  0.7 ,  0.8 ,  0.6 ,  0.5 ,  0.6 ,  0.8 ,  0.8 ,  0.8 ,  0.9 ,  0.8 ,  0.6 ,  0.5 ,  0.3 ,  0.4 , 21.5
 3.6 - 5.85,  0.6 ,  1.0 ,  1.3 ,  1.4 ,  0.9 ,  1.1 ,  1.0 ,  1.0 ,  1.1 ,  1.4 ,  1.1 ,  0.7 ,  0.7 ,  0.3 ,  0.6 ,  0.6 ,  0.6 ,  1.1 ,  1.3 ,  1.9 ,  2.0 ,  2.4 ,  1.8 ,  1.4 ,  1.3 ,  1.6 ,  1.2 ,  1.5 ,  1.8 ,  1.7 ,  1.5 ,  1.4 ,  1.1 ,  1.0 ,  0.5 ,  0.6 , 42.5
5.85 - 8.55,  0.3 ,  0.3 ,  0.4 ,  0.5 ,  0.6 ,  0.3 ,  0.5 ,  0.4 ,  0.1 ,  0.2 ,  0.2 ,  0.2 ,  0.3 ,  0.3 ,  0.3 ,  0.3 ,  0.3 ,  0.4 ,  0.8 ,  1.1 ,  2.0 ,  1.6 ,  0.9 ,  0.9 ,  1.0 ,  1.0 ,  1.0 ,  1.1 ,  0.9 ,  0.9 ,  0.7 ,  0.7 ,  0.6 ,  0.5 ,  0.4 ,  0.4 , 22.3
8.55 - 11.25,  0.0 ,  0.1 ,  0.1 ,  0.2 ,  0.1 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.1 ,  0.1 ,  0.1 ,  0.0 ,  0.1 ,  0.1 ,  0.3 ,  0.5 ,  0.4 ,  0.1 ,  0.1 ,  0.2 ,  0.2 ,  0.3 ,  0.4 ,  0.3 ,  0.2 ,  0.2 ,  0.1 ,  0.0 ,  0.0 ,  0.1 ,  0.1 ,  4.7
11.25 - 14.4,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.1 ,  0.1 ,  0.1 ,  0.0 ,  0.1 ,  0.2 ,  0.2 ,  0.1 ,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.9
14.4 - 17.55,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.1
17.55 - 21.15,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
21.15 -     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
 Total(%)  ,  1.5 ,  2.0 ,  2.3 ,  2.6 ,  2.0 ,  1.8 ,  1.9 ,  1.8 ,  1.7 ,  2.2 ,  2.0 ,  1.6 ,  1.5 ,  1.3 ,  1.7 ,  1.3 ,  1.6 ,  2.5 ,  3.3 ,  4.7 ,  5.9 ,  5.6 ,  3.8 ,  3.4 ,  3.2 ,  3.6 ,  3.3 ,  4.1 ,  4.1 ,  3.7 ,  3.5 ,  3.2 ,  2.4 ,  2.1 ,  1.3 ,  1.6 , 95.9 
