scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment
Acacia cyclops,Coastal wattle,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACCY2,invasive (category D2)
Acacia longifolia,Sydney golden wattle,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACLO,invasive (category D2)
Acacia melanoxylon,Blackwood,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACME,invasive (category D2)
Acer platanoides,Norway maple,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=ACPL,widespread invasive (category E)
Acer pseudoplatanus,Sycamore maple,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=ACPS,widespread invasive (category E)
Acorus calamus,Calamus,Tracheophyta,Magnoliopsida,Acorales,Acoraceae,https://plants.usda.gov/home/plantProfile?symbol=ACCA4,widespread invasive (category E)
Agropyron cristatum,Crested wheatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGCR,widespread invasive (category E)
Agropyron desertorum,Desert wheatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGDE2,widespread invasive (category E)
Agrostis capillaris,Colonial bentgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGCA5,widespread invasive (category E)
Agrostis gigantea,Redtop,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGGI2,widespread invasive (category E)
Agrostis stolonifera,Creeping bentgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGST2,widespread invasive (category E)
Ailanthus altissima,Tree of heaven,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,https://plants.usda.gov/home/plantProfile?symbol=AIAL,widespread invasive (category E)
Albizia julibrissin,Silktree,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ALJU,widespread invasive (category E)
