id,MuT,number,mean_distance
1,0,42.604,3.8927059904648496
2,1,44.017,4.2129080246457224
3,2,45.568,4.317161300599545
4,3,78.657,4.237486637349897
5,4,227.5,4.129778337702097
6,5,250.881,4.134541329011791
7,6,547.966,4.550680482416679
8,7,686.43,4.389121324008884
9,8,709.24,4.414997641131203
10,9,711.263,4.429418952824607
11,10,693.666,4.403920627871388
12,11,766.263,4.6565824358607495
13,12,796.678,4.784744062592852
14,13,797.791,4.784135267813121
15,14,796.221,4.784118909522289
16,15,797.83,4.798672255398012
17,16,832.589,4.932143216261886
18,17,884.005,5.171555232226651
19,18,916.652,5.241719285234316
20,19,923.167,5.243088811791245
21,20,899.407,5.232139615787147
22,21,900.236,5.232092180827306
23,22,902.716,5.229749653750622
24,23,674.582,4.986821155524024
25,24,483.779,4.980482519895727
26,25,458.393,4.997433059659517
27,26,412.649,5.040432437509804
28,27,392.055,5.03684280288952
29,28,379.024,4.890060856782543
30,29,135.701,4.6850241788408775
31,30,125.154,4.683048960916921
