id,MuW,number,mean_distance
1,0.0,424.481,3.420646480577203
2,0.5,440.587,3.4333921182834835
3,1.0,463.362,3.4652046758663544
4,1.5,490.807,3.500823396538473
5,2.0,518.726,3.550830209129675
6,2.5,559.771,3.637826159396135
7,3.0,598.127,3.722877934334697
8,3.5,640.839,3.8480762220866445
9,4.0,690.199,4.0090880136312155
10,4.5,727.174,4.184090565039725
11,5.0,769.682,4.404155885841963
12,5.5,817.462,4.65530425239765
13,6.0,849.551,4.921940159076453
14,6.5,888.834,5.20851974790881
15,7.0,920.157,5.509513486455226
16,7.5,966.738,5.8270834969999665
17,8.0,998.06,6.150558394020086
18,8.5,1036.152,6.4816629863705515
19,9.0,1080.731,6.81995659939966
20,9.5,1117.314,7.1645556065386495
21,10.0,1133.322,7.505786805656745
22,10.5,1154.516,7.855812485721753
23,11.0,1201.269,8.208515390431392
24,11.5,1238.26,8.564494298855735
25,12.0,1256.39,8.921168153865755
26,12.5,1285.958,9.274901138855803
27,13.0,1312.816,9.6341619456343
28,13.5,1342.86,9.99346985218627
29,14.0,1374.595,10.35423711866985
30,14.5,1381.754,10.714174787930736
31,15.0,1433.68,11.079260489384188
