run_times,number,distance
1,570,5.072158613796331
2,715,5.21075303047209
3,1162,5.3001201089476275
4,1078,5.225998562010578
5,919,5.1504258995927
6,801,5.21051483804215
7,1004,5.211890751421844
8,911,5.3008652071848665
9,887,5.21000792664565
10,1080,5.260244891889057
11,1121,5.333862258823766
12,1097,5.2906162702884245
13,602,5.184299844599242
14,1052,5.256587399755102
15,938,5.2476719296236825
16,849,5.284190750223228
17,681,5.168735758504338
18,1081,5.267145705981105
19,931,5.206597836410493
20,833,5.111619798886027
21,1002,5.185363252216449
22,914,5.2322707191230755
23,639,5.172954209604763
24,832,5.277586741262916
25,769,5.220527305936434
26,971,5.2281684535672746
27,636,5.1197996488244275
28,874,5.280329694902858
29,1006,5.232600494137252
30,917,5.173957512796494
31,700,5.096438855425823
32,1027,5.282778844058871
33,813,5.184340746415948
34,925,5.276395741022271
35,825,5.196072549482357
36,1135,5.298986429970001
37,1005,5.209087891724675
38,1170,5.2929260041600426
39,982,5.265497037274157
40,1060,5.2736988269287695
41,940,5.265402402083467
42,807,5.172003530428898
43,1196,5.3324531625358
44,979,5.268704146041628
45,954,5.142202934509388
46,1029,5.273054851165071
47,1103,5.346693327707923
48,978,5.2919812740574175
49,810,5.208723878613086
50,720,5.154275776088488
51,1107,5.275485904451107
52,1064,5.308192862277541
53,1122,5.389318706623677
54,1116,5.286218662489259
55,725,5.156917790496341
56,983,5.257666215090332
57,670,5.07470690930662
58,1023,5.297159949429474
59,777,5.196597056309458
60,831,5.164426941643994
61,793,5.2319875838615015
62,1112,5.313088361842466
63,1039,5.262425706657899
64,877,5.124541943663716
65,940,5.2056886739751596
66,1049,5.233776963409022
67,1190,5.387410511498523
68,978,5.218388837170208
69,1123,5.320042289740871
70,948,5.3127094414118226
71,951,5.194513251884468
72,549,5.118589686334198
73,841,5.215822050109993
74,731,5.088320410237935
75,934,5.2255549318100085
76,909,5.092572772995993
77,1007,5.282802363294042
78,838,5.222123880149967
79,796,5.154765743047417
80,948,5.2238202436910575
81,891,5.241638175917143
82,968,5.209499956584351
83,987,5.283247481842598
84,800,5.165541020468691
85,980,5.237132436891963
86,698,5.175507505912876
87,773,5.092046112393674
88,980,5.241288884959617
89,812,5.104210548479863
90,978,5.234273733655268
91,1086,5.320036384280627
92,919,5.154266068943401
93,780,5.10685910541493
94,581,5.12816760098552
95,944,5.237882286015696
96,899,5.169723796998026
