run_times,number,distance
1,57,4.393744787108855
2,59,4.390094403988187
3,60,4.2015617579949724
4,92,4.590676263616329
5,63,4.183165547081355
6,47,4.510366145078282
7,150,4.141587374956562
8,93,4.376171458937174
9,97,4.377541270975535
10,63,4.138332617472805
11,46,4.318468721370709
12,58,4.057891967525568
13,55,4.543501797509945
14,57,4.277057177621341
15,82,4.231997481304502
16,56,4.379409710672705
17,64,4.393638012903962
18,85,4.3192733440500115
19,71,4.400434120583761
20,85,4.16738037984362
21,60,4.2115910397048735
22,54,4.230067449186879
23,77,4.285620216094784
24,76,4.441906956508431
25,59,4.23974630766063
26,69,4.3256188570338
27,91,4.239921497538967
28,109,4.176931508708653
29,47,4.712293475939419
30,43,4.252380220570646
31,59,4.118938887457732
32,66,4.439095026309704
33,34,4.0016864357660555
34,24,4.423523763788004
35,53,4.36773895254925
36,111,3.993414355068628
37,72,4.481049290700063
38,100,4.463163576407048
39,36,4.877848208222964
40,90,4.538095334661787
41,28,4.338005138636327
42,120,4.2344589423862065
43,111,4.314816443106166
44,116,4.268605938734956
45,85,4.025841541448409
46,79,4.2178004967582865
47,58,4.207200502322199
48,77,4.121190934164534
49,71,4.070985150586876
50,70,4.4855600229575625
51,55,4.38966661223642
52,88,4.302036015549339
53,70,4.344946465761476
54,36,3.984850368340464
55,111,4.357728821299937
56,52,4.146933833772487
57,34,4.482228714274067
58,56,4.20616331492795
59,46,3.8226581650308726
60,60,4.70996557562759
61,115,4.141820471828368
62,53,4.53672718853184
63,32,3.9557295971844253
64,82,4.250061615079802
65,94,4.29843391807141
66,79,4.039851493669501
67,119,4.380197717273961
68,46,4.148530532437791
69,48,4.116131451035141
70,110,4.53290014867642
71,75,4.419306023254411
72,16,3.806376681889986
73,65,4.13824465084989
74,48,4.367154473313031
75,119,4.349901281348018
76,74,4.071067085759825
77,69,4.119115675540483
78,53,4.344935026393807
79,34,4.390833114984115
80,106,4.303924665671654
81,140,4.220561268749608
82,32,3.9993037580034723
83,72,4.563997404339542
84,53,4.12584196580845
85,120,4.349614874620786
86,83,4.183252480855935
87,118,4.250432692501699
88,92,4.12202307516968
89,37,4.033457369265835
90,72,4.270680990495868
91,63,4.350147471083264
92,58,3.857469500976033
93,24,4.2500150432986485
94,48,4.114312793118253
95,90,4.4536355274238675
96,17,4.455738635415801
97,62,4.012663850465778
98,71,4.530999977167085
99,62,4.542968345471082
100,88,4.164350827765962
101,84,4.4197703352007975
102,100,4.229407258159684
103,64,4.272217916268814
104,98,4.288381349369335
105,100,4.255361188506979
106,95,4.244325682185749
107,91,4.289464624410307
108,26,3.926066659957795
109,53,4.3611796926214
110,45,4.433347711397585
111,79,3.997904869936321
112,81,4.355937588685494
113,19,3.974611621414051
114,119,4.3244947812323735
115,73,4.40818082184348
116,42,4.380950705285411
117,102,4.386300908896402
118,41,4.2113518923528055
119,118,4.3059242179275525
120,109,4.233337790551028
121,12,4.448118850836673
122,51,4.363061042600215
123,121,4.231407319560826
124,34,4.368489352481419
125,74,4.116037419337861
126,65,4.580352949648493
127,44,4.541410898818576
128,110,4.282434671756227
129,93,4.137410164713829
130,113,4.375084579952317
131,66,4.4870198417544795
132,51,4.241745464517702
133,72,4.387673008572976
134,106,4.2553080027699375
135,69,4.492910429196098
136,85,4.586091609661276
137,94,4.052276527897661
138,106,4.298187463219918
139,75,4.335058677510365
140,57,3.9494647530604268
141,80,4.581009266086626
142,124,4.424315714158231
143,57,4.218979655951257
144,43,3.9749211160680424
145,78,4.494022133392196
146,117,4.21045865478233
147,55,4.2854037968022975
148,105,4.643399889016897
149,73,4.118613626345093
150,40,4.013431522452663
151,55,4.596845933047374
152,59,4.51749892160111
153,33,4.553773858092687
154,82,4.107767564416507
155,82,4.7425906643647595
156,94,4.238122312305151
157,70,4.214623055580721
158,76,3.951624629765408
159,76,4.495274485333529
160,73,4.675811002993386
161,35,4.1406415025568615
162,64,4.531644109415257
163,82,3.9473161916673964
164,52,3.983679425503948
165,44,4.413465178595998
166,34,4.5012967257639005
167,44,4.357447508239165
168,86,4.255956995364186
169,28,5.019542710534649
170,97,4.3593570150920185
171,82,4.34812868961043
172,81,4.252774973537136
173,42,4.295709110033277
174,142,4.216541548572974
175,36,4.083777568145003
176,81,4.415884430638101
177,49,4.617578603360751
178,95,4.329372986574333
179,127,4.277745077033432
180,92,4.316103286636055
181,57,4.477761063092561
182,34,4.030179668933504
183,120,4.314983662866994
184,70,4.152158725523272
185,106,4.4959531865468465
186,83,4.19198732391785
187,87,4.153394449414317
188,59,4.100685325032585
189,44,4.751904700059685
190,64,4.649285150672764
191,47,4.276413514061451
192,83,4.117793132441648
193,74,4.223458600596589
194,118,4.348313234916328
195,62,4.370331238445524
196,59,4.476664980945874
197,51,4.2217128002649495
198,86,4.3695460307937894
199,66,3.920964107592196
200,97,4.188911989552439
201,36,4.300991646406034
202,59,4.645867212907099
203,52,4.5552398979802
204,22,4.52590291231697
205,46,4.190971519180549
206,86,4.486452347266742
207,36,4.192432926465475
208,112,4.2772790097598765
209,83,4.218389356312998
210,62,4.523882749452764
211,134,4.187437155035364
212,57,4.16939689592958
213,62,4.290430920953546
214,83,4.298067016279131
215,65,4.268916089035482
216,34,4.372662817941817
217,71,4.573649108229248
218,120,4.155801558623901
219,141,4.246097207242142
220,61,4.315799078924829
221,101,4.277728937517261
222,71,4.407212375070305
223,73,4.3763483949091695
224,75,4.048046388648886
225,100,4.019487098323571
226,50,4.324313004543801
227,71,4.149250178222271
228,87,4.095949307456557
229,36,4.277053817246508
230,58,4.264289790576698
231,59,4.267633467049036
232,45,4.091901864057432
233,56,4.129134499662956
234,63,3.8991241471612854
235,119,4.00624923282081
236,74,4.338637822516504
237,63,4.359502555795139
238,59,4.303715755279585
239,33,4.257589540215174
240,39,4.714089407074056
241,70,4.439383186192093
242,110,4.099399017101127
243,99,4.270621983504641
244,60,4.19790798456874
245,71,4.479209295740654
246,72,4.4433909197958315
247,40,4.182533742978331
248,92,4.327914843909029
249,86,4.150437195990397
250,85,4.5313893872260635
251,74,4.34955026625192
252,52,4.545018562688753
253,33,4.074353165890851
254,55,4.17549182795396
255,102,4.292039034550836
256,69,4.4827813026228025
257,67,4.429003597980725
258,39,4.304370549189535
259,71,4.127438806851416
260,111,4.314144141880737
261,80,4.054787586825309
262,136,4.227593846129353
263,106,4.236008543013051
264,130,4.345089737766692
265,80,4.120144798531206
266,59,4.199957855366361
267,65,4.110037767085659
268,72,4.4193061450695845
269,45,4.390601055637849
270,92,4.236270087453967
271,56,3.944646160767994
272,93,4.345367444473866
273,144,4.343500542600358
274,80,4.241510966770017
275,60,4.206596585668604
276,57,4.488674063216973
277,95,4.085913911225223
278,10,4.742440468163365
279,92,4.453955806844707
280,80,4.01204544924064
281,64,3.948972156191729
282,86,4.219127331092588
283,59,4.032019988609453
284,59,4.318026816092855
285,47,4.593037695333424
286,67,4.284583218282374
287,95,4.243589126536595
288,93,4.113276793485349
289,78,4.426026129121918
290,150,4.204992092958471
291,72,4.332796734349293
292,89,4.463429868985625
293,114,4.264136259025658
294,63,4.084416555380163
295,72,4.587443543449159
296,70,4.175245790314815
297,73,4.357275116718545
298,65,4.374867417524518
299,67,4.225162441347424
300,64,4.357313011912569
301,101,4.220151751128673
302,72,4.347484087461932
303,70,4.338223864047574
304,74,4.696178092535914
305,37,4.421847019251473
306,67,4.479159972954602
307,68,4.525242867366195
308,102,4.629201686403579
309,86,4.281435445634919
310,99,4.387788575156567
311,109,4.120986803378543
312,88,4.050161506894477
313,81,4.37445711373732
314,69,4.227845549958117
315,41,4.285439901022463
316,93,4.080458660629356
317,89,4.153005196719449
318,71,4.195094597535438
319,99,4.199223809651638
320,81,4.079442770214503
321,113,4.290566344415181
322,120,4.108142686658701
323,109,4.204629016739431
324,109,4.371686854663363
325,66,3.994582537621289
326,92,4.405906594261068
327,128,4.307375239649395
328,94,4.220325394010464
329,76,4.311626999458063
330,66,4.310751810283628
331,39,4.479649137030397
332,71,4.341269205058366
333,52,4.402109102461151
334,52,4.239719548834978
335,74,4.185559492121406
336,85,4.234602948300806
337,75,4.136793776873517
338,77,4.084191227495084
339,74,4.44184829220492
340,96,4.142662264848533
341,74,4.378742594434846
342,58,4.291153309045756
343,97,4.197412125482389
344,75,4.175073999915079
345,93,4.576303385809317
346,70,4.297865941394231
347,97,4.15392086299747
348,81,4.331286026861557
349,78,4.41570806842161
350,79,4.221548233619435
351,102,4.2501188484414705
352,127,4.065428597467725
353,118,4.142735796106878
354,58,4.486807290900296
355,45,4.38145663798801
356,58,4.44759318811863
357,93,4.396910312686533
358,55,4.180603455216377
359,64,4.112624011132732
360,85,4.0185196572939486
361,87,4.249048808974666
362,48,4.043594631889603
363,77,4.447877344847066
364,72,4.381907266775055
365,70,4.317810279569502
366,83,4.317123180210101
367,51,4.028502362696315
368,88,4.593524381734013
369,53,4.09687500920033
370,67,4.395980421952618
371,49,4.369326243184458
372,68,4.339937406256013
373,62,4.02951752271183
374,124,4.21636491601136
375,45,4.179627628690286
376,92,4.121714557470467
377,42,4.378426874207647
378,128,4.225661246352854
379,83,4.287559414542231
380,82,4.346946671517117
381,135,4.240456987762279
382,32,4.166262141882283
383,71,4.393645689779382
384,77,4.414765392466456
385,70,4.083139626211694
386,95,4.3970112154606875
387,91,4.260337593479713
388,51,4.572997957934757
389,28,4.1309518865880275
390,15,4.290105685409822
391,40,4.668199303615724
392,56,4.482533719630302
393,86,4.376351185129024
394,52,4.062274134233778
395,59,4.388438675993314
396,43,4.384359331393194
397,146,4.29956579187234
398,70,4.537123049830438
399,64,4.5052670786832705
400,105,4.209881664087713
401,90,4.1508506836274055
402,39,4.561602957259235
403,64,4.174167952640385
404,89,4.085711771647862
405,77,4.3819196215072225
406,70,4.593824351147292
407,113,4.41155999228882
408,72,4.5691020025867095
409,50,4.331140811103896
410,59,4.033307766399271
411,40,4.073762216846886
412,59,4.01276199256267
413,47,4.627305220997328
414,31,4.158292601909346
415,92,4.05699065550315
416,106,4.43116071517746
417,94,3.923932485946058
418,106,4.081231432916052
419,63,4.523871949814099
420,45,4.445724894419236
421,119,4.213808559222121
422,63,4.425742496914017
423,56,4.6745722247415165
424,86,4.36696278864713
425,86,4.29816719790871
426,95,4.289081010743353
427,68,4.300655920294698
428,51,4.592935632273361
429,35,3.966007331289911
430,84,4.38840692810484
431,134,4.360811279849707
432,45,4.094138108388008
433,104,4.43113548673727
434,139,4.130617702007379
435,65,4.2059346483994995
436,43,4.107100766870917
437,63,4.2517065125026035
438,92,4.350824531187087
439,78,4.457461330972036
440,78,4.018153059647432
441,52,4.374853636174392
442,70,4.333665204732464
443,91,4.32370097274439
444,83,4.252317545254019
445,63,4.340752615265681
446,74,3.8988796647373856
447,79,4.499294779425484
448,141,4.308423378719149
449,84,3.9907624853004013
450,59,4.32555192662432
451,26,4.594623300611651
452,44,4.4236347992756215
453,36,4.361089435255
454,55,4.411318838335608
455,93,4.561298876212692
456,70,4.083291815371612
457,80,4.501365650960478
458,65,4.411906362718339
459,65,4.217095749068503
460,57,4.372362235267723
461,64,4.343438382162396
462,82,4.2160054388433466
463,86,4.163265236657581
464,93,4.4164434316098236
465,59,4.351848500387157
466,51,4.153004307241561
467,90,3.9587501054923044
468,71,4.550682373309506
469,47,4.207504117920111
470,127,4.403576857639945
471,115,4.37337750966736
472,73,3.989767754643983
473,91,4.208328036743909
474,61,4.407833449569122
475,95,4.41560716810473
476,70,4.752520226717212
477,44,4.284591278935129
478,82,4.302742805987737
479,91,4.279649645002565
480,65,4.356440798376373
481,91,4.641442062861129
482,85,4.3070973210474905
483,69,4.438893176482515
484,66,4.202942337897607
485,102,4.349697665370942
486,49,3.9984911115308006
487,134,4.362916630496202
488,78,4.216933268011678
489,54,4.368286991740904
490,75,4.542966113778929
491,114,4.395584931619721
492,90,4.289184107305024
493,103,4.119118490528703
494,39,4.631382625938813
495,106,4.203100707604549
496,118,4.352046138808954
497,97,4.435447614637515
498,57,4.118330393251789
499,83,4.3843884598525795
500,58,4.057688646731574
501,76,3.9595354817209767
502,24,4.1656239750921635
503,40,4.360858027610941
504,84,4.170420967190156
505,48,4.291106975503573
506,81,4.228641721191597
507,80,4.251756589618521
508,47,4.265333130137349
509,69,4.195858992813326
510,96,4.236938055722896
511,83,4.324464117068726
512,160,4.249521206371388
513,68,4.26250585693944
514,89,3.9647180814010747
515,97,3.97282582801831
516,72,4.494590307077608
517,29,4.92851943716565
518,73,4.316179967131295
519,78,4.124079224558136
520,110,4.366297842291338
521,118,4.375655366546394
522,97,4.117678083596177
523,44,4.58562481645555
524,79,4.1148904394320756
525,89,4.226673665960846
526,52,4.582838833856801
527,97,4.2620953485185815
528,126,4.180973222002255
529,52,4.123212392238255
530,56,4.274044607964913
531,38,4.276783990965572
532,49,4.09324941111363
533,97,4.295413919909982
534,34,4.618677037941677
535,80,4.580939729014594
536,88,4.371096225030324
537,81,4.388687273952114
538,71,4.370915183921893
539,84,4.35614220274726
540,49,4.0901025330394285
541,120,4.204471628144964
542,134,4.202433700224149
543,83,4.281694458665096
544,61,4.29349137756573
545,59,4.276971522501487
546,40,4.2469261485024274
547,46,4.167081295498754
548,105,4.494748945965503
549,71,4.242593906081933
550,82,3.896049940102756
551,56,4.11248238395071
552,58,4.52640211880018
553,90,4.457477625523402
554,97,4.069812584925618
555,107,4.285857563182578
556,61,4.105376083273209
557,98,4.146427548804466
558,76,4.312461204106592
559,70,4.102538113929682
560,58,4.279859369159666
561,46,4.234713762342741
562,83,3.954772852153789
563,71,4.304808373829709
564,94,4.197612435727405
565,67,4.543455024848671
566,104,4.114481531604318
567,69,4.458489136005494
568,105,4.11562384217855
569,90,4.280097316070442
570,109,4.087623607955534
571,57,4.46189756656817
572,55,4.098725100569377
573,50,4.388091859435373
574,110,3.9528108497074976
575,45,4.134069108115888
576,60,4.338285785044497
577,23,3.9548669357369084
578,58,4.148663267173298
579,62,4.239375109459246
580,57,4.46390700345483
581,29,5.002520425578037
582,43,4.47141308045395
583,61,4.248791459293202
584,71,4.01084579501714
585,48,4.306152933715759
586,37,4.373141211359428
587,96,3.945100549113072
588,35,4.354935872556335
589,69,4.326957309177867
590,72,4.5386360406873205
591,78,4.311205666286983
592,78,4.359701341839185
593,77,4.397058660310363
594,53,4.720941917817158
595,41,4.560425111912734
596,93,4.186837901053901
597,76,4.160776892679523
598,53,4.221039600766397
599,66,4.336493061591162
600,72,4.0375133468163495
601,48,4.182292237854486
602,54,4.398682085463411
603,51,4.031065764752243
604,48,4.457891068656886
605,125,4.158072626075278
606,34,4.098747754365303
607,134,4.289004790749332
608,63,4.3106791931313415
609,45,4.456185004976608
610,74,4.285408649017224
611,66,4.356459692718452
612,116,4.468346292690263
613,23,4.270413261898637
614,71,4.1636526380133825
615,34,4.515868819036418
616,51,4.315022927955382
617,109,4.064989703698644
618,128,4.171627858240304
619,58,4.559444212986897
620,85,4.327240824134568
621,57,4.257760602382947
622,78,4.285395465669363
623,70,4.442790863813059
624,90,4.334560145486136
625,36,4.1677090976820335
626,61,4.372598269061811
627,48,4.646647656870901
628,118,4.2942164958262
629,86,4.363110641863938
630,78,4.383817984915193
631,41,3.911628566410998
632,26,4.576283374985635
633,122,4.299429601187058
634,101,4.559991317265192
635,130,4.229551440690635
636,98,4.20531093302973
637,71,4.322368473440621
638,20,4.430665061269932
639,66,4.230738520171733
640,32,3.81712084259755
641,57,4.432861347329382
642,78,4.232319016181833
643,68,4.430533279356368
644,103,4.184064717893132
645,28,4.521960791768477
646,81,3.9916074811650257
647,110,4.285782256550131
648,48,4.188465671041937
649,56,4.070221498522504
650,26,3.8809996847868002
651,132,4.300625320087833
