run_times,number,distance
1,585,4.538753757558784
2,751,4.653109931594487
3,599,4.609818230419099
4,621,4.464191971741913
5,652,4.496080226856938
6,480,4.310420160970377
7,642,4.58936046095674
8,611,4.511808440992026
9,569,4.560695366526197
10,565,4.416105121976817
11,634,4.538439678822895
12,615,4.509142831016302
13,470,4.5662334433148715
14,690,4.656600636926451
15,577,4.560535502699144
16,652,4.5549277423518335
17,453,4.406070510534339
18,662,4.480944877168715
19,593,4.453401556305831
20,597,4.528009766796778
21,558,4.4459651282976775
22,615,4.513841573385443
23,585,4.499453561940991
24,629,4.561150786301021
25,670,4.605012194083487
26,654,4.659200907529833
27,661,4.531292219681355
28,541,4.449827267302018
29,675,4.597140111404072
30,609,4.477929856848163
31,636,4.555081534568293
32,546,4.422528032026927
33,389,4.373938841496477
34,667,4.564707051715071
35,598,4.603506227804741
36,698,4.5671618402040135
37,603,4.504082782508231
38,525,4.555264554717213
39,588,4.511367468596574
40,477,4.30026308461748
41,591,4.600676811425592
42,624,4.589016698483865
43,693,4.5813654702908
44,712,4.569610722777336
45,652,4.5683061926137185
46,658,4.580221480533615
47,620,4.507336384931486
48,630,4.5501427331874735
49,633,4.67434511940483
50,662,4.531271236633196
51,596,4.568710445874559
52,644,4.558838793132362
53,669,4.597821367634234
54,640,4.544083440033797
55,603,4.546877444630654
56,672,4.61564678381326
57,555,4.495094769144105
58,620,4.444903778041452
59,498,4.446100802639996
60,623,4.4838681557728
61,529,4.489154637647153
62,610,4.480959938953268
63,584,4.535168296460524
64,675,4.619816123809075
65,651,4.695234544683646
66,613,4.512623995421917
67,633,4.524129131741046
68,620,4.456946107413252
69,607,4.459640195639328
70,389,4.419290481624064
71,651,4.579628314354157
72,545,4.459640507609244
73,634,4.5522576579959
74,586,4.508898490180451
75,671,4.656737232361748
76,633,4.575279387159852
77,711,4.659982536281648
78,645,4.607135480521324
79,596,4.3734766114450485
80,743,4.756643114505931
81,650,4.5600432142704586
82,572,4.547875676036927
83,647,4.5211954571805695
