run_times,number,distance
1,1826,11.860319663669827
2,2204,11.985961983886567
3,1651,11.735866909526326
4,1716,11.719576496123462
5,827,11.689691930381473
6,1796,11.846883424672079
7,1408,11.692484760610295
8,1841,11.785815893092797
9,1314,11.723068381484179
10,2575,12.052992215056367
11,1892,11.74974315755849
12,2059,12.029937665315906
13,2087,11.956841123068877
14,909,11.539186065596923
15,1406,11.66782204560985
16,1825,11.869841918139452
17,2282,12.189757614279275
18,1600,11.824112855210014
19,1395,11.351308808118977
20,1577,11.860668760397722
21,1407,11.95382828630814
22,1514,11.77826205523119
23,1546,11.575947298618276
24,1811,11.763305915369548
25,2597,12.03623924929987
26,1957,12.0026597301583
27,2354,12.083857105125354
28,1531,11.485449422613973
29,1655,11.93187647179233
30,1865,11.77286275884987
31,636,11.370491277186568
32,1897,12.02126541788
33,2474,11.99735000990882
34,1070,11.474993042502124
35,1987,11.884016417735864
36,1544,11.683349576149036
37,1769,11.917387580516824
38,1585,11.545019595161621
39,3146,12.296580402391136
40,2047,11.707336062694743
41,2677,12.262352117189156
42,1902,11.90377149826431
43,1982,11.889219912607732
44,2139,12.009685780164505
45,1678,11.758057657011676
46,1636,11.805144680053317
47,1714,11.695729678861127
48,876,11.583682937957086
49,983,11.737220923293354
50,1467,11.645979809493753
51,1067,11.4577368942717
52,2575,12.145185168909206
53,1561,11.857566622465251
54,873,11.236883601190959
55,1863,11.959095565038277
56,1899,11.925045191481948
57,1401,11.63051333109501
58,1406,11.416087238845455
59,2558,12.009502720584386
60,1039,11.501612687576566
61,1881,11.970013588328092
62,1979,12.140870210313075
63,1702,11.689565604102771
64,1241,11.777156372005228
65,1363,11.639719417739894
66,2540,12.066169649961374
67,1959,11.926312250103331
68,1558,11.683363205180306
69,2200,12.022540476249363
70,1734,11.968669994123996
71,1520,11.853988560845863
72,1719,11.966596081480898
73,1581,11.579286096906788
74,2649,12.256933752732074
75,2303,12.179801599323152
76,2130,12.002046818769353
77,1159,11.48148643788249
78,2121,12.156104269904684
79,1779,11.57256578713949
80,2713,12.306431989124848
81,928,11.467106613497007
82,2781,12.212065477252418
83,1341,11.814435665238044
84,2369,12.204806883077058
85,1927,11.82794741978914
86,1545,11.921910133861
87,1307,11.811523308972752
88,2108,11.874892975539987
89,2074,11.767466369809126
90,1654,11.828964521249265
91,1413,11.454253799324812
92,548,11.266730689162177
93,1264,11.973796640037172
94,1455,11.76957866874575
95,2055,12.160326793938355
96,1256,11.822882582735202
97,1490,11.604004262510172
98,2355,12.042816945279073
99,1518,11.82497150133392
100,1794,11.936753700236268
101,775,11.522338169512794
102,1718,11.96004165555381
103,1745,11.82476816936653
104,1653,11.610796628584518
105,986,11.736734325226713
106,1037,11.627749725257479
107,1399,11.882781498147652
108,1190,11.559296633740459
109,2583,12.173101170932794
110,2067,11.818413970865066
111,1637,11.562315560171522
112,1695,11.785106535083457
113,1866,11.786754271907895
114,1958,11.797684750286015
115,2405,11.889866853741328
116,1271,11.640102019265267
117,2329,11.989183475011178
118,1352,11.659694183939688
119,2089,11.953233252251541
120,1918,11.818784058159052
121,1967,11.770845668514681
122,1398,11.686192119186224
123,2023,11.941308345365407
124,1527,11.630802178960375
125,1769,11.759649654996519
126,1266,11.729599980168087
127,1492,11.66941163732482
128,1804,12.00626333058263
129,1625,11.725912895985738
130,1761,11.924099057678884
131,889,11.672495443347959
132,1962,12.026337443402875
133,2045,11.760838491510365
134,2591,11.91201400154821
135,2078,11.973814903414238
136,2069,12.058389312780557
137,2335,12.023369368341587
138,1852,11.722846507553967
139,1972,11.853248946904193
140,1830,11.878399494674051
141,1734,11.857387324935036
142,2585,12.135161875618332
143,2381,11.996161899408849
144,1454,11.879916692386116
145,1557,12.020137468184314
146,1294,11.553343003966944
147,1238,11.706674216669052
148,1193,11.888836572174974
149,1400,11.815422039583984
150,2282,12.058051458335392
151,1506,11.868455276725548
152,2433,12.154445261553832
153,1644,11.797111370050713
154,1683,11.791756760499634
155,1174,11.531229867978185
156,1791,11.624280338680006
157,2037,12.029940923426501
158,1759,11.930759970121578
159,1384,11.608315956605436
160,1895,11.83776551168572
161,1724,12.006165581882975
162,2012,11.987873563565655
163,2820,11.955629514782327
164,913,11.773627593739247
165,2162,11.826099655902103
166,1413,11.717403163436721
167,2088,12.017193362352751
168,1702,11.90018054383691
169,2168,12.00571581545399
