run_times,number,distance
1,581,4.913526187186441
2,448,4.929128523701659
3,569,4.900359083365342
4,652,5.008769221114799
5,655,5.023023968571277
6,539,4.882621343868299
7,565,5.018504878346592
8,590,5.005458342610198
9,307,4.858748748032699
10,501,4.918700249346067
11,696,5.100741034027843
12,638,5.0347159668730965
13,654,4.986617740358982
14,624,5.053561678724243
15,596,4.948128458364276
16,635,4.965911175180702
17,618,5.042168295764556
18,617,4.980540440205322
19,673,4.994568639634445
20,605,4.92637432302665
21,674,5.032884894776695
22,725,5.117009585971059
23,501,4.938362719628152
24,570,5.033710749946938
25,657,5.020551882959806
26,506,4.9176841211322975
27,655,5.081324356613731
28,635,4.993043767793478
29,540,4.927237149883282
30,659,5.055162828161043
31,734,5.098182670901274
32,610,4.980295173935847
33,516,4.993262932264212
34,461,4.833297273573387
35,500,4.875178013298109
36,677,5.113068879764302
37,573,4.905079041804888
38,423,4.842578938066963
39,628,5.0590243915521915
40,612,4.96831672275377
41,549,4.950041156359893
42,585,5.0363566524001895
43,724,5.142652072518133
44,686,5.07900917286879
45,491,4.859660922381945
46,692,5.10469621825716
47,706,5.134735221833095
48,407,4.8848824849227475
49,616,4.958889024235075
50,599,5.013952149721124
51,615,5.005808399398653
52,593,5.056068492533303
53,655,5.033566956847417
54,631,5.060909353356023
55,405,4.805974147997339
56,490,4.957011924667251
57,713,5.067855291578924
58,715,5.069104838868266
59,500,4.899366383646025
60,581,4.972982339770897
61,649,5.034001401148429
62,562,4.954699454591945
63,671,5.068539454564458
64,676,5.044769938444381
65,510,4.92538208333964
66,636,4.95408038655771
67,572,5.049309566526463
68,583,4.960129392761347
69,594,4.990116535596195
70,668,5.135874270087497
71,621,4.99447759099141
72,605,5.0607845828164875
73,614,4.916444227235907
74,635,4.955547133191687
75,634,5.0211118561875505
76,570,4.919969747098764
77,654,5.028173377810427
78,702,5.052760920080856
79,605,5.0690203028038825
80,529,4.9298656300642785
81,521,4.945987974193728
82,603,4.903835988730685
83,466,4.8214770548679455
84,630,5.038361873787802
85,654,5.091043487806469
86,576,4.9460180109734475
87,539,4.911828702760173
88,601,4.953690615913523
89,684,5.027838817257514
90,617,5.001847451540381
91,669,5.074403612949678
92,248,4.685191262605608
93,638,5.088655002012178
94,361,4.856742128049859
95,526,4.927311692036871
96,622,5.073293627460078
97,681,5.032159576161698
98,625,4.999962620326382
99,633,5.058232402963116
100,564,4.954816365582555
101,631,4.987043328212491
102,591,5.0271116219275935
103,564,4.928624262948762
104,440,4.898705175216934
105,635,4.969848342425189
106,605,4.999014020798613
107,464,4.958761635207895
108,572,4.934767744572359
109,493,4.918558111460075
110,692,5.0350267699035625
111,639,5.056774610940352
112,544,4.853925590573709
113,599,5.0037206753436045
114,472,4.859508541748315
115,622,4.954091027650771
116,684,5.10728888586236
117,570,4.938759232861716
118,356,4.853718688762363
119,639,5.032257659855812
120,610,4.9980468688792
121,588,5.105079552781206
122,514,4.9125919582394655
123,543,4.884735737962914
124,623,5.021024504190728
125,431,4.917458700300836
126,585,4.957312392143644
127,780,5.1792566942540645
128,670,5.081648371308426
129,645,5.102001697263848
130,499,4.926302711603639
131,512,4.878246693740678
132,640,5.105774077330102
133,660,4.970756130242091
134,733,5.084439947299429
135,463,4.868454569261455
136,720,5.101723685570973
137,575,4.9829855631990885
138,658,5.038028216917922
139,470,4.9501253636255615
140,628,5.018735639407159
141,586,4.966632821396389
142,687,5.0562877266648725
143,676,4.992905911987993
144,670,4.931821070746774
145,457,4.890070036872185
146,591,4.994594347499297
147,528,4.88224535359793
148,535,4.898375837429371
149,598,5.028398931601874
150,693,5.00437846376713
151,582,5.009330433806213
152,654,5.101166023183637
153,550,4.889464152147829
154,715,5.117771521265118
155,657,5.041605101113585
156,586,4.999892130046264
157,655,4.9919778147113725
158,490,4.894146595436325
159,654,5.028522418864109
160,517,4.874856534473154
161,598,5.033911163077176
162,703,5.155694739446712
163,596,4.993141409668672
164,617,4.9790024115157925
165,465,4.895604780958744
166,561,4.968938003550819
167,679,5.06962561181111
168,655,5.081386783468594
169,731,5.050661734463727
170,654,5.135395728469524
171,697,5.055564736293986
172,571,4.953065736113657
173,748,5.125314277241177
174,661,5.063988755814573
175,645,5.046783806198099
176,560,4.97817072728869
177,541,4.81395323771466
178,561,4.914749894665962
179,596,4.942444008250326
180,697,5.014530525054563
181,716,5.0239063491900415
182,556,4.947692185135515
183,657,5.007143516922002
184,578,4.996835666695776
185,516,4.972677739034825
186,561,4.8538795347781125
187,631,4.961592915726453
188,698,5.11955215553423
189,452,4.966875681284108
190,694,5.018347323644882
191,429,4.811582653708739
192,707,5.04684644287387
193,506,4.888074359315328
194,619,5.034145076731981
195,559,4.905977673129309
196,696,5.0902431405646995
197,608,5.052079846841944
198,596,5.045680820876522
199,692,5.100615695131879
200,609,5.006342192868631
201,476,4.917223525641825
202,666,5.0539011417712985
203,589,4.947565971697615
204,601,5.050357884602082
205,626,5.016768277432342
206,570,4.931757342300776
207,528,4.910927066655276
208,615,5.036156205751717
209,599,4.991638444825606
210,734,5.10913882332991
211,590,4.998783912197371
212,673,4.96549565690779
213,532,4.918559870076973
214,674,5.100638711629835
215,563,4.883742202465742
216,711,5.082453627053861
217,618,4.966059384813428
218,596,5.050390280263836
219,751,5.068513281673735
220,648,5.003274661039533
221,567,5.007390304686991
222,631,4.967102031070878
223,625,5.044371618885588
224,579,5.036273583364908
225,427,4.915794697195733
226,697,5.097160424270643
227,674,5.106447443507245
228,589,4.941811426396618
229,578,4.947829953903873
230,619,4.977446681413603
231,698,5.072750032511383
232,604,5.050252971878145
233,564,4.9233166100226775
234,580,4.982075201410365
235,596,4.998212153560313
236,694,5.0648629053523475
237,522,4.981173572631054
238,704,5.056076006106918
239,480,4.958347076431519
240,502,4.952423424452384
241,649,5.032732542079624
242,632,4.970857260975039
243,591,4.977606356458413
244,654,5.038283909088114
245,661,4.985304623441029
246,568,4.969177459417935
247,584,5.009455818516883
248,661,5.040272218694064
249,694,5.096468830720015
250,655,5.032003242552335
251,580,4.919253466527383
252,619,4.9538084190146945
253,650,5.110008243936961
254,582,5.0012370266803154
255,711,5.050888333478933
256,647,5.034829002123117
257,549,5.076157353368829
258,569,4.93289684693548
259,548,4.978441304969098
260,509,4.987076462467474
261,676,5.069987394407608
262,646,5.013080856296005
263,554,4.9508940331714015
264,516,4.922624194038578
265,633,5.015034318210009
266,644,5.069169398566115
267,518,4.826880701610017
268,605,4.977299704606474
269,549,4.907096732647969
270,732,5.064258961189079
271,650,4.924240295293757
272,481,4.901186692516916
273,404,4.835086660705331
274,487,4.8848736902130305
275,669,4.991201954163767
276,706,5.014601066706707
277,554,5.019231237336347
278,639,5.034551549441754
279,736,5.075888493042532
280,566,4.906292003513399
281,602,4.956526853670118
282,650,5.012371187407001
283,635,5.1192840263738875
284,710,5.031235899042343
285,576,4.9661522387763055
286,600,5.061228903303161
287,451,4.826886898232373
