run_times,number,distance
1,1130,6.508443776167563
2,1240,6.571810315985109
3,1052,6.5607353553267345
4,1018,6.515920430690801
5,922,6.5032600602865775
6,1155,6.547653991443242
7,1217,6.569573111893174
8,815,6.533170223754915
9,1081,6.524398986967115
10,1178,6.525648999516227
11,1219,6.51188417954542
12,1285,6.5432930783793966
13,731,6.537851185579572
14,1236,6.526028573520712
15,1212,6.5396192153035635
16,1084,6.539750197533729
17,864,6.444739207915164
18,1073,6.5292142585033535
19,844,6.494047325239296
20,1046,6.530937629959378
21,994,6.515800008936131
22,1258,6.533682256194621
23,825,6.530616497772827
24,683,6.532380523089645
25,1279,6.6443921307109095
26,1166,6.539256930028269
27,883,6.5003223488850965
28,1359,6.5746625666699625
29,1167,6.528843313567001
30,1365,6.595835059744788
31,930,6.459474894923034
32,1204,6.540567975129906
33,1127,6.559779210612451
34,1291,6.5749451731051165
35,1281,6.670403186645918
36,1336,6.598137620522186
37,573,6.496439657942441
38,1182,6.577801409909777
39,888,6.50613542374622
40,1229,6.5448494106099355
41,1204,6.547972891707492
42,1149,6.504690589390963
43,1162,6.500341986968417
44,910,6.506587929540889
45,1368,6.661216391417801
46,872,6.39693778088239
47,1076,6.5204719569979845
48,1011,6.554132143594187
49,1049,6.614562565287324
50,1190,6.5690990774163875
51,1223,6.5808333109364145
52,1416,6.64405818661973
53,1140,6.547283489567253
54,1014,6.489103173242892
55,1102,6.552030693670338
56,452,6.389822479187293
57,1141,6.57586636843024
58,906,6.561654156810986
59,1236,6.501861989895538
60,1205,6.519805062916223
61,1135,6.5250952102301545
62,995,6.521088353073821
63,1099,6.4795095882431
64,1144,6.572219038565171
65,1223,6.5519101938004365
66,1085,6.50627689365432
67,921,6.525833997979484
68,1019,6.580121719031771
69,1230,6.513440595795933
70,1208,6.580042887430229
71,1516,6.588057721802437
72,952,6.512620861566209
73,993,6.478881750146537
74,1081,6.527170017790149
75,1093,6.507451039959529
76,874,6.474737853347813
77,1410,6.5855913326161755
78,1245,6.524902616154645
79,1155,6.535632050413025
80,1100,6.4824625231176585
81,1103,6.506994164910761
82,980,6.481543505168943
83,1302,6.5931302271769745
84,769,6.428690641057442
85,1198,6.519458997106271
86,1144,6.572366877451984
87,1168,6.553665474410337
88,1107,6.5514401503072275
89,1325,6.55709286563446
90,1098,6.570252744367527
91,794,6.427864376591954
92,849,6.471841393635841
93,1057,6.504225268571866
94,1193,6.570887244098029
95,1098,6.525774026529474
96,1257,6.534813931700119
97,786,6.471396501284406
98,1138,6.500213605218685
99,1107,6.544787470122747
100,1044,6.423173722824571
101,1382,6.562794147102415
102,1167,6.598814277866542
103,954,6.561357285310918
104,1254,6.631249872496659
105,904,6.484820993869901
106,1077,6.513211461295326
107,1132,6.5689413585916085
108,1289,6.530248451835749
109,847,6.50330113262122
110,1272,6.565570597064577
111,1004,6.488405858001515
112,1240,6.605633484292749
113,542,6.433945445686828
114,1032,6.539289500584197
115,1121,6.524992870220558
116,1053,6.476615397948685
117,1162,6.521557022895166
118,1138,6.56007858013251
119,759,6.4682779432659725
120,1168,6.569495510121778
121,1189,6.534279653188584
122,1201,6.530117456691567
123,1150,6.550977197198029
124,974,6.5030969820352835
125,1196,6.522644319635185
126,1053,6.469425378660342
127,1264,6.549498993887777
128,1278,6.540025510287686
129,1137,6.4886076519652445
130,1234,6.5093455538024525
131,1073,6.503474335637233
132,712,6.509830174913253
133,1017,6.425973729918613
134,1131,6.603703188768996
135,1138,6.462028107235785
136,1166,6.607252308365316
137,1098,6.541609903730123
138,792,6.543491623475699
139,756,6.447057247841376
140,1161,6.524580255388048
141,1163,6.519413348225014
142,1292,6.540065291926218
143,1232,6.546575113088522
144,1266,6.487141521478129
145,1145,6.4907621862904845
146,1181,6.549788834879051
147,1022,6.470176244314714
148,1079,6.531546036654668
149,1032,6.524857423677066
150,848,6.5200363256520255
151,703,6.377652766101702
152,737,6.473833109933908
153,1043,6.561825904152356
154,1388,6.597404170337653
155,941,6.469337930616572
156,1070,6.457755700310775
157,838,6.476763716905724
158,1312,6.570273449249647
159,796,6.475867823300729
160,781,6.48344049965663
161,1147,6.523325229267718
162,1102,6.566829679400128
163,1392,6.5449297002965325
164,1046,6.613249166638771
165,1137,6.493526361093997
166,1102,6.5391439630219015
167,1266,6.576216229975507
168,942,6.497794752344004
169,1255,6.579209234296589
170,1132,6.517475260694378
171,1064,6.50819541812234
172,926,6.49992758017749
173,1421,6.586263782229683
174,1220,6.590302853136141
175,1250,6.570669582997586
176,1014,6.506810690779647
177,933,6.497433531528378
178,1348,6.589546743859823
179,928,6.563179593614926
180,1110,6.521885297030074
181,1286,6.614359494713825
182,1001,6.5366801378169095
183,1410,6.589767971541137
184,833,6.444661583975938
185,1128,6.5289682641212465
186,1150,6.544589180171308
187,1095,6.510370983202898
188,908,6.429684428612505
189,1372,6.538695584689009
190,1012,6.497557468639647
191,1137,6.534225909536789
192,1036,6.4918211124111
193,1092,6.478268292673989
194,1159,6.5259038623785965
195,960,6.517435688084924
196,1153,6.537013886715293
197,829,6.489905540727575
198,1179,6.532630053675289
199,1058,6.535920660721313
200,1122,6.5123998275264485
201,1156,6.542391298176026
202,1199,6.572240715041682
203,979,6.503750352233235
204,803,6.465896384593011
205,1068,6.537646967228411
206,1356,6.665667850403314
207,1185,6.5975729672370065
208,1380,6.576150879285788
209,1259,6.4677912534718445
210,853,6.457542727489936
211,663,6.481138919579059
212,1140,6.5211033849994235
213,1097,6.586609704691921
214,975,6.5818584537097635
215,1027,6.567787556739837
216,882,6.470584472147739
217,1311,6.591041193661627
218,981,6.466820114562883
219,873,6.463479946422394
220,982,6.508884519094487
221,773,6.524031796119092
222,113,6.246229866708328
223,1275,6.590361552180247
224,1030,6.494630884080005
225,962,6.475688022778813
226,657,6.478155283018895
227,1034,6.491850710202937
228,1160,6.505457645596219
229,1187,6.552760925862216
230,1293,6.540576400324265
231,1149,6.572671565855698
232,787,6.414789492734537
233,790,6.444686351470115
234,1045,6.5362666606656
235,1054,6.446824134350945
236,986,6.472642810231056
237,1134,6.503063931253036
238,942,6.508472928032824
239,873,6.491437837200539
240,1138,6.525251022599812
241,1096,6.478740701532636
242,800,6.446665150345411
243,1121,6.530596585050367
244,1310,6.570981847321274
245,832,6.432419408259282
246,1229,6.552262939673994
247,1293,6.513405889886819
248,1182,6.513690765998265
249,1160,6.503935762221896
250,926,6.468074750335413
251,1073,6.500209245920529
252,1089,6.533555546670802
253,669,6.501932616361138
254,918,6.539111499609989
255,827,6.448912659891782
256,1350,6.560150042534285
257,1184,6.591606888178114
258,1170,6.503960094093804
259,1190,6.582794390566289
260,1249,6.547570595469222
261,729,6.555775101529514
262,1124,6.507065617276982
263,999,6.5153468831786325
264,1119,6.5143415153020925
265,1078,6.526508977034418
266,1326,6.573075037279067
267,664,6.505184745820316
268,1203,6.635041152209671
269,1317,6.565924108515899
270,984,6.53506921881751
271,1118,6.466215504316811
272,948,6.455137674301407
273,1223,6.56534959347541
274,1335,6.541923672568462
275,1105,6.552989609721459
276,1466,6.617377351118168
277,1035,6.494057325442107
278,1123,6.522378741829506
279,1250,6.5889699328044635
280,1425,6.610197428048797
281,1120,6.542109410247028
282,776,6.487607247952824
283,964,6.489588655829721
284,1141,6.47593468808151
285,1248,6.593743779477097
286,706,6.520266727109255
287,1138,6.5492256775355555
288,1329,6.584579709532334
289,1067,6.525169311027803
290,1249,6.561206423936622
291,1150,6.528200050050825
292,775,6.407524992644162
293,1146,6.659341381308055
294,1037,6.506357059805812
295,1049,6.511749283336287
296,1173,6.596973695258165
297,1078,6.560340194506514
298,667,6.497097845547836
299,1198,6.541579450563489
300,1005,6.555152081138173
301,661,6.366272835545825
302,1020,6.517763777626382
303,1256,6.532470481295865
304,856,6.46231584956324
305,1344,6.532122513598247
306,1135,6.522471515315109
307,1051,6.540374388309714
308,989,6.529585770422549
309,832,6.4110302635590966
310,972,6.562274660641022
311,1218,6.5800880035887195
312,997,6.490455464410227
313,647,6.349088354905322
314,1207,6.55699369372595
315,903,6.4292800779746395
316,1312,6.549334439324231
317,1013,6.527042991235383
318,1151,6.513869613521614
319,1076,6.457793543751823
320,989,6.54586081691164
321,899,6.466187719341563
322,1187,6.561397514770424
323,956,6.508778547587107
324,677,6.418830126001426
325,1065,6.503431284830422
326,1270,6.611544832911445
327,825,6.437029484066134
328,1158,6.57141108941686
329,1123,6.550013652467376
330,1197,6.516486911359251
331,918,6.520290216383911
332,984,6.506393741245376
333,1125,6.559975328944325
334,1308,6.4940441816466645
335,920,6.416412295244819
336,1308,6.590321638651698
337,1097,6.503821531270681
338,1083,6.535129803814065
339,767,6.501665756926242
340,1350,6.5343296491241025
341,962,6.5286493515651145
342,1247,6.533922410630669
343,1117,6.513626868624253
344,1086,6.547151610375138
345,927,6.514179101262745
346,1049,6.491802449652561
347,902,6.533823085776982
348,771,6.491484621961221
349,1169,6.605157636158501
350,1037,6.462263633988957
351,1229,6.518351247162849
352,1177,6.598557697093598
353,1237,6.583566435505089
354,989,6.47275336213248
355,1057,6.486088468657443
356,1133,6.556092472124267
357,1172,6.508837652598572
358,701,6.504329966878239
359,613,6.479235998529838
360,1035,6.484032363035586
361,1412,6.605594218974307
362,1000,6.483360147394514
363,1212,6.555355055579191
364,994,6.493846448535678
365,824,6.466720506048187
366,1103,6.490220187378148
367,1307,6.622585387352251
368,1276,6.594453596813878
369,896,6.43513425527103
370,1430,6.622843397412026
371,1196,6.553778009861645
372,1120,6.520403049769924
373,807,6.466440987541918
374,1217,6.526595923659652
375,1117,6.555471155022911
376,982,6.522693463815098
377,704,6.500116043990018
378,1269,6.604509359779125
379,1072,6.5863200920494
380,1037,6.498101219036969
381,1260,6.593553273339577
382,1242,6.513736787120901
383,1225,6.610427933352209
384,935,6.461102793403282
385,1045,6.582641674053974
386,862,6.466406958193259
387,1117,6.551474320734017
388,1044,6.5022479604942465
389,922,6.45038423588839
390,884,6.5011607255141195
391,987,6.516510828877904
392,1134,6.586019810405108
393,1077,6.504287421342216
394,1161,6.545034607462243
395,1022,6.519591641093052
396,915,6.4666903145081704
397,954,6.5249832333420015
398,876,6.46086863132174
399,1218,6.602586530406818
400,1188,6.568116092513357
401,843,6.420448719613683
402,1078,6.517949082765698
403,929,6.514446186706266
404,1241,6.556545018599721
405,953,6.505017842576773
406,794,6.426985872007686
407,958,6.415323244838896
408,1019,6.519844786786035
409,989,6.528669504907969
410,610,6.468285734087496
411,1311,6.5596638262693
412,1035,6.481119680924645
413,1104,6.459520877394565
414,933,6.512620502251255
415,721,6.547928829942152
416,1213,6.576773429866332
417,1194,6.538421629887947
418,1156,6.563769864578803
419,1208,6.550460131160602
420,1268,6.5126123703920245
421,1305,6.567987439320074
422,1142,6.489405637671293
423,1096,6.566275808735611
424,908,6.569442450022312
425,1107,6.539078100394763
426,967,6.499601197198501
427,1036,6.4500511059741275
428,725,6.502423894615715
429,1076,6.479757745729914
430,1009,6.539573511683144
431,1274,6.5349230359983155
432,1167,6.491404598089031
433,1311,6.600535097192915
434,1050,6.563747929625176
435,814,6.524226107398219
436,752,6.365940098717674
437,951,6.485078558947231
438,1130,6.481338691592988
439,1387,6.604695756879453
440,829,6.501954862633725
441,850,6.420271987776699
442,1199,6.56443899949083
443,1052,6.444093786338413
444,911,6.454536715151732
445,1110,6.560083937775008
446,1166,6.584458704031862
447,1093,6.475017766378462
448,1172,6.503462641267733
449,942,6.454313158614281
450,1115,6.465106794488666
451,1053,6.495889390161142
452,1169,6.534201917207298
453,1268,6.56064329640652
454,968,6.504908695403181
455,819,6.482535455539477
456,1327,6.539937654296168
457,876,6.52940121909716
458,1174,6.51110363737885
459,1243,6.554012257706365
460,987,6.504151062494222
461,808,6.453877467951994
462,1269,6.598386119574794
463,1038,6.617024248444786
464,343,6.373760681252008
465,722,6.539542489364793
466,1205,6.5392285321230235
467,1264,6.564556833915714
468,955,6.592109038984303
469,923,6.487191031824728
470,897,6.510586803218212
471,1205,6.5629772722081725
472,638,6.464678570794062
473,1122,6.537384278080395
474,1031,6.587176802550712
475,832,6.464713555557348
476,1170,6.52922796248501
477,1195,6.528032300194941
478,1119,6.5808967604363
479,671,6.50508323669812
480,1245,6.497585253177699
481,1132,6.571711971058278
482,927,6.559243130075978
483,1049,6.544106351202053
484,1057,6.569868559372617
485,1126,6.481667226445595
486,1246,6.47084739905907
487,625,6.35309060307885
488,943,6.442758536985151
489,1137,6.529644124059007
490,1083,6.549864021963346
491,1170,6.546038015673459
492,733,6.4594922921994815
493,1223,6.562529903843257
494,1163,6.550013592295842
495,896,6.544516443297217
496,1310,6.508687233575227
497,809,6.461137385547805
498,1211,6.534565373861562
499,985,6.5797322427689275
500,1236,6.541270409464667
501,1147,6.587409405169472
502,829,6.5142909356992575
503,1093,6.53981901923438
504,1066,6.492792160518509
505,1283,6.502720291821616
506,1030,6.558028774219878
507,1190,6.5335338602244475
508,924,6.467649858240482
509,992,6.447456137680341
510,1054,6.455607498566646
511,1247,6.53034827881717
512,682,6.504041315488013
513,1320,6.588266648073283
514,917,6.5155877041708665
515,468,6.435890999375499
516,1004,6.5427980351300175
517,1072,6.528179922786902
518,1061,6.470927861208836
519,980,6.550762386468222
520,833,6.454421824565722
521,1141,6.538024186422281
522,844,6.445896519242472
523,1090,6.488739350159823
524,1155,6.590135730460602
525,896,6.553070138448866
526,1040,6.519444713273013
527,1106,6.464528105487403
528,865,6.5146848716094645
529,1161,6.504107784946477
530,831,6.428165201933926
531,1179,6.513937060025932
532,1350,6.639373858616895
533,964,6.548476110862242
534,1161,6.524401769664745
535,1238,6.5851856744871435
536,981,6.483587045920219
537,1111,6.555128776431033
538,1279,6.509840908947728
539,1156,6.556878632676785
540,1136,6.524434791022896
541,1077,6.5447843439707984
542,1507,6.547523799694062
543,662,6.46796967229121
544,1222,6.574892476928747
545,1118,6.543305663002887
546,1336,6.647521725532336
547,762,6.402405381154381
548,771,6.403364558807499
549,929,6.521832614515697
550,1193,6.521129006238931
551,1230,6.589398222515659
552,976,6.561698184466851
553,1159,6.531953265739601
554,901,6.467847712665732
555,988,6.556387958912017
556,1213,6.510789047585726
557,1144,6.490051484602695
558,1169,6.609693636907341
559,1161,6.5151619462645165
560,1161,6.500589710057351
561,1302,6.6024763991565445
562,1074,6.506971796245259
563,1129,6.534722948214378
564,1189,6.551870712815582
565,640,6.455462676114431
566,986,6.555275090624824
567,666,6.433222635834615
568,990,6.457768865700875
569,969,6.534139451137876
570,1302,6.548266652750948
571,1047,6.427580100796574
572,1226,6.5376831170997285
573,1220,6.522728622782619
574,986,6.476738893397916
575,1138,6.560688377590338
576,1188,6.54313557539771
577,1184,6.547287879941089
578,1173,6.5044707010893
579,882,6.40739466674996
580,1160,6.543237089026242
581,1212,6.585793299893294
582,999,6.578066035917725
583,1210,6.5965859786882755
584,1014,6.552102901929571
585,1005,6.512188503740767
586,1198,6.518422477717762
587,1024,6.4774471862420135
588,1191,6.55355501413741
589,1124,6.5357197939450895
590,1158,6.531969309201614
591,1325,6.543397416076542
592,954,6.479010526755712
593,900,6.454145194850534
594,1355,6.605615141075087
595,1267,6.569190370298907
596,1320,6.561190854647691
597,1101,6.522824953896759
598,828,6.451156294975301
599,1030,6.489660974661926
600,987,6.449160193184835
601,1240,6.610855930445685
602,1112,6.511846054656707
603,1078,6.5121814573601675
604,1243,6.541882058730653
605,1270,6.554401595672021
606,986,6.468970232347872
607,1313,6.54022171634999
608,1208,6.596568189867104
609,955,6.479298876031952
610,966,6.556923728344474
611,1297,6.542947864966119
612,1076,6.497157037143083
613,807,6.391063438858632
614,980,6.504290098219672
615,1322,6.616879975799555
616,1300,6.528846467835517
617,1282,6.584966640701671
618,1148,6.534776312674833
619,945,6.503509878022623
620,782,6.4402277072281295
621,991,6.48814126511835
622,1056,6.529579713617058
623,900,6.502587031809758
624,1118,6.47211154028492
625,651,6.38354739458438
626,1391,6.571280855654386
627,1008,6.506878931361108
628,1341,6.624172511975176
629,1043,6.51726535087674
630,921,6.472128283366678
631,1055,6.530807717192701
632,1010,6.455124419691504
633,1243,6.610867936068622
634,1003,6.454459297447674
635,1156,6.562033009166181
636,1145,6.519437175433967
637,807,6.463825245153743
638,1076,6.53770462696536
639,978,6.46140099019641
640,1172,6.517313401461237
641,1220,6.557628846805762
642,1151,6.576307950457392
643,1236,6.5511742891605325
644,958,6.569367675348919
645,1089,6.5277345662298885
646,1072,6.5129351726879054
647,1352,6.55972572771525
648,1311,6.526239400479044
649,653,6.4770262364360605
650,1409,6.595473337355425
651,944,6.441637678067996
652,825,6.403646846985317
653,1379,6.595109038067019
654,1213,6.59026339880638
655,1172,6.565870971429164
656,1378,6.5505257106694375
657,1049,6.569912594825891
658,1045,6.519742795883391
659,1015,6.596962004499007
660,1167,6.492180373256004
661,1045,6.569921119245604
